Record ID,Offender Number,Record Date,Fiscal Year Revoked,Revocation Type,Status,Sex,Race & Ethnicity,Age,Offense Code,Offense Class,Offense Description,Offense Type,Offense Subtype
6307,20687528,12/09/2022,2023,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,25,124.401(1)(d)(2),D Felony,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking
6306,18745568,05/30/2019,2019,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,25,124.401(1)(d)(2),D Felony,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking
6305,19445198,11/13/2023,2024,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,33,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
6304,20405681,02/14/2019,2019,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,26,715A.2(2)(a),D Felony,FORGERY,Property,Forgery/Fraud
6303,3484100,06/26/2015,2015,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,33,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6302,2416889,07/02/2019,2020,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,65,"902.8,A",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PERSON),Other,Other Criminal
6301,19680734,11/16/2018,2019,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,29,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6300,19133567,10/26/2021,2022,2. Revoked - Serious Misdemeanor New Conviction,Parole,Male,White,37,719.8,D Felony,FURN. CONTR. SUBST. TO INMATES,Drug,Other Drug
6299,20746784,01/19/2016,2016,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,22,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft
6298,3401552,11/03/2022,2023,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,48,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
6297,18212501,04/24/2020,2020,2. Revoked - Serious Misdemeanor New Conviction,Parole,Male,White,36,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6296,19632758,05/21/2019,2019,4. Revoked - New Arrest ICON,Parole,Male,White,32,124.401(1)(b)(5),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-LSD LT 10gm",Drug,Trafficking
6295,19452527,10/28/2014,2015,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,27,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft
6294,18145670,05/13/2016,2016,3. Revoked - New Arrest Pending or Found Not Guilty,Parole,Female,Black,30,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6293,18213995,10/15/2018,2019,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,35,715A.2(2)(a),D Felony,FORGERY,Property,Forgery/Fraud
6292,19410827,09/17/2018,2019,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,50,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
6291,3122117,07/11/2014,2015,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,42,124.401(4)(b),D Felony,Proh Acts-Poss Prod Int for Mfg Cont Subst-Pseudoephedrine,Drug,Trafficking
6290,19895696,03/12/2024,2024,4. Revoked - New Arrest ICON,Parole,Male,Black,43,124.401(1)(c)(2)(b),C Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine LT 500gm",Drug,Trafficking
6289,18938909,09/18/2019,2020,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Hispanic,37,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
6288,20799239,11/16/2017,2018,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Hispanic,24,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6287,19862681,05/03/2021,2021,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,23,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
6286,18114350,12/05/2024,,2. Revoked - Serious Misdemeanor New Conviction,Parole,Male,White,41,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
6285,18118355,01/23/2018,2018,5. Revoked - Other Violation (No New Arrest),Special Sentence,Male,White,22,903B.2,Special Sentence 2005,Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex
6284,167468,11/09/2018,2019,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,50,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking
6283,19561544,12/31/2024,,5. Revoked - Other Violation (No New Arrest),Special Sentence,Male,White,46,903B.2,Special Sentence 2005,Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex
6282,3021233,08/03/2020,2021,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,47,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
